"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 08월 09일","41.53","41.78","41.97","40.94","11.42M","-1.28%"
"2019년 08월 08일","42.07","42.11","42.35","41.36","14.68M","0.81%"
"2019년 08월 07일","41.73","40.51","41.90","40.33","15.43M","0.99%"
"2019년 08월 06일","41.32","40.92","41.64","40.78","15.08M","2.35%"
"2019년 08월 05일","40.37","41.58","42.00","39.62","23.08M","-5.79%"
"2019년 08월 02일","42.85","41.82","43.04","41.59","20.62M","1.83%"
"2019년 08월 01일","42.08","42.54","43.48","41.72","22.88M","-0.54%"
"2019년 07월 31일","42.31","41.08","43.24","41.01","29.75M","3.20%"
"2019년 07월 30일","41.00","41.08","41.72","40.82","15.67M","-1.20%"
"2019년 07월 29일","41.50","41.50","42.22","40.90","21.17M","-0.05%"
"2019년 07월 26일","41.52","40.07","42.33","40.00","57.53M","8.92%"
"2019년 07월 25일","38.12","39.00","39.23","37.91","21.26M","-1.58%"
"2019년 07월 24일","38.73","38.00","38.80","37.76","12.49M","2.19%"
"2019년 07월 23일","37.90","37.87","38.02","36.82","10.74M","0.85%"
"2019년 07월 22일","37.58","36.92","37.69","36.83","8.42M","2.20%"
"2019년 07월 19일","36.77","37.96","38.09","36.73","10.84M","-2.36%"
"2019년 07월 18일","37.66","37.39","37.80","37.00","11.13M","-0.11%"
"2019년 07월 17일","37.70","37.86","38.23","37.56","7.93M","-0.76%"
"2019년 07월 16일","37.99","38.78","38.79","37.82","10.98M","-1.78%"
"2019년 07월 15일","38.68","38.00","38.97","37.94","12.74M","2.22%"
"2019년 07월 12일","37.84","37.37","37.90","37.17","8.05M","1.69%"
"2019년 07월 11일","37.21","37.66","37.87","36.97","8.55M","-0.69%"
"2019년 07월 10일","37.47","37.90","38.03","36.88","11.83M","-0.48%"
"2019년 07월 09일","37.65","36.35","37.67","36.29","14.22M","3.29%"
"2019년 07월 08일","36.45","36.04","36.64","35.87","8.06M","0.55%"
"2019년 07월 05일","36.25","36.00","36.35","35.60","6.08M","0.64%"
"2019년 07월 03일","36.02","36.29","36.39","35.94","5.37M","-0.55%"
"2019년 07월 02일","36.22","36.17","36.60","35.88","8.40M","0.39%"
"2019년 07월 01일","36.08","35.50","36.25","35.22","14.42M","3.38%"
"2019년 06월 28일","34.90","34.75","34.99","34.28","15.51M","0.43%"
"2019년 06월 27일","34.75","35.44","35.64","34.61","12.66M","-1.33%"
"2019년 06월 26일","35.22","34.98","35.38","34.92","8.74M","1.44%"
"2019년 06월 25일","34.72","35.52","35.73","34.57","11.20M","-2.42%"
"2019년 06월 24일","35.58","35.19","35.67","34.82","9.22M","1.60%"
"2019년 06월 21일","35.02","35.50","35.75","34.99","12.85M","-1.19%"
"2019년 06월 20일","35.44","36.35","36.65","35.33","19.68M","-2.34%"
"2019년 06월 19일","36.29","36.63","36.68","35.81","12.06M","-0.98%"
"2019년 06월 18일","36.65","36.71","37.51","36.55","12.71M","0.58%"
"2019년 06월 17일","36.44","36.26","36.68","36.11","7.90M","0.80%"
"2019년 06월 14일","36.15","36.36","36.49","36.04","7.79M","-0.52%"
"2019년 06월 13일","36.34","37.04","37.04","35.76","21.68M","-3.07%"
"2019년 06월 12일","37.49","37.13","37.62","37.05","6.80M","0.75%"
"2019년 06월 11일","37.21","38.09","38.26","36.85","9.53M","-1.14%"
"2019년 06월 10일","37.64","38.35","38.64","37.62","10.04M","-0.76%"
"2019년 06월 07일","37.93","36.87","38.31","36.80","15.40M","3.66%"
"2019년 06월 06일","36.59","36.26","36.75","35.96","8.86M","0.72%"
"2019년 06월 05일","36.33","36.50","36.71","35.95","12.80M","0.64%"
"2019년 06월 04일","36.10","35.18","36.15","34.97","15.36M","4.85%"
"2019년 06월 03일","34.43","36.45","36.90","34.04","22.22M","-5.52%"
"2019년 05월 31일","36.44","36.62","36.96","36.30","8.56M","-1.88%"
"2019년 05월 30일","37.14","37.00","37.29","36.60","7.41M","0.79%"
"2019년 05월 29일","36.85","37.02","37.40","36.52","12.27M","-1.18%"
"2019년 05월 28일","37.29","37.41","38.04","37.23","11.77M","-0.32%"
"2019년 05월 24일","37.41","37.47","37.85","37.27","9.30M","0.59%"
"2019년 05월 23일","37.19","38.15","38.29","36.80","18.40M","-3.60%"
"2019년 05월 22일","38.58","37.41","39.32","37.24","21.11M","2.96%"
"2019년 05월 21일","37.47","37.47","37.86","37.33","8.86M","0.86%"
"2019년 05월 20일","37.15","37.12","37.73","36.92","9.41M","-0.93%"
"2019년 05월 17일","37.50","37.83","38.12","37.47","9.09M","-2.09%"
"2019년 05월 16일","38.30","38.11","38.72","38.05","10.10M","1.06%"
"2019년 05월 15일","37.90","36.67","38.14","36.64","11.52M","2.63%"
"2019년 05월 14일","36.93","37.04","37.52","36.60","11.13M","0.93%"
"2019년 05월 13일","36.59","37.50","37.64","36.37","16.83M","-4.84%"
"2019년 05월 10일","38.45","38.68","39.16","37.86","12.26M","-0.88%"
"2019년 05월 09일","38.79","38.11","39.02","37.82","10.01M","0.54%"
"2019년 05월 08일","38.58","38.45","39.15","38.33","9.17M","-0.10%"
"2019년 05월 07일","38.62","39.90","40.15","38.12","19.28M","-4.00%"
"2019년 05월 06일","40.23","39.69","40.44","39.45","14.52M","-1.40%"
"2019년 05월 03일","40.80","40.48","40.82","39.96","15.58M","2.13%"
"2019년 05월 02일","39.95","39.24","40.00","38.84","13.42M","1.68%"
"2019년 05월 01일","39.29","40.00","40.07","39.26","14.96M","-1.55%"
"2019년 04월 30일","39.91","39.79","40.92","39.65","22.91M","0.33%"
"2019년 04월 29일","39.78","38.63","39.97","38.63","19.68M","2.87%"
"2019년 04월 26일","38.67","38.59","39.34","38.18","15.27M","0.49%"
"2019년 04월 25일","38.48","39.26","40.13","38.19","26.04M","-2.06%"
"2019년 04월 24일","39.29","39.86","39.95","38.80","30.27M","-1.21%"
"2019년 04월 23일","39.77","36.93","40.53","36.91","104.26M","15.64%"
"2019년 04월 22일","34.39","34.40","34.62","33.82","19.70M","-0.03%"
"2019년 04월 18일","34.40","34.67","34.86","34.32","9.81M","-0.23%"
"2019년 04월 17일","34.48","34.73","34.90","34.20","9.02M","0.06%"
"2019년 04월 16일","34.46","34.84","34.99","34.23","9.40M","-0.72%"
"2019년 04월 15일","34.71","34.38","35.03","34.34","10.25M","0.99%"
"2019년 04월 12일","34.37","34.67","34.83","34.11","12.71M","-0.61%"
"2019년 04월 11일","34.58","34.75","34.87","34.41","10.98M","-0.49%"
"2019년 04월 10일","34.75","35.26","35.27","34.51","11.65M","-1.11%"
"2019년 04월 09일","35.14","34.84","35.39","34.81","13.89M","0.80%"
"2019년 04월 08일","34.86","34.79","35.06","34.51","10.66M","0.40%"
"2019년 04월 05일","34.72","34.55","34.80","34.37","9.57M","0.87%"
"2019년 04월 04일","34.42","34.70","35.14","33.90","14.60M","0.12%"
"2019년 04월 03일","34.38","34.00","34.76","33.81","18.04M","1.87%"
"2019년 04월 02일","33.75","33.44","33.89","33.23","11.64M","0.93%"
"2019년 04월 01일","33.44","33.16","33.68","32.70","12.50M","1.70%"
"2019년 03월 29일","32.88","33.10","33.24","32.47","13.53M","0.03%"
"2019년 03월 28일","32.87","32.29","32.93","31.73","17.75M","1.83%"
"2019년 03월 27일","32.28","32.93","33.45","31.95","13.67M","-2.36%"
